Id;IdiomText;Defenition
544;blue chip company;This term refers to a company with a  solid reputation for the quality of its  products and the stability of its growth and  earnings.<br />
545;get down to brass tacks;When people<em> get down to brass tacks</em>,  they start to discuss the essential aspects  of a problem or situation.<br />
546;break your back;If you work extremely hard, or put a lot  of effort into achieving something, you <em> break your back</em> to do it.<br />
547;bricks and mortar / bricks and clicks;An established trading company  (office/shop) is referred to as a <em> 'brick-and-mortar'</em> business.<br /> <em>'Click companies</em>' refer to  internet-based operations.<br /> Companies which do both are called<em>  'bricks and clicks'.<br /> </em>
548;armchair   critic;An <em>armchair  criti</em>c is someone who gives advice  based on theory rather than practice.<br/>
549;armchair   traveller;"Someone who reads  books or watches TV programmes about other  places and countries, but doesn't actually  travel anywhere, is called an<em> armchair  traveller</em>.<br/>&nbsp;"
550;basket  case;"A person whose  agitated mental state leaves them helpless  or unable to cope with things is called a<em>  basket case</em>.<br/> &nbsp;"
551;wet blanket;To refer to someone  as a<em> wet blanket</em> means that they  spoil other people's fun, or make an event  less enjoyable than it could have been.<br />
552;you can't put new wine in old bottles;"This expression  means that you should not try to combine new  concepts or innovations with an old or&nbsp;  long-established framework or system.<br/>"
553;not the brightest bulb  in the box;"&nbsp;‘Bright’ means ‘clever’ or ‘intelligent’. <br /> This  expression is used to say that someone is  not very intelligent.<br />"
554;burn the candle   at both ends;If you <em>burn the candle at both ends</em>,  you exhaust yourself by doing too much,  especially going to bed late and getting up  early.<br />
555;can't hold a candle  to;If one person <em>can't hold a candle</em>  to another, they are much less competent or  do not perform as well as the other.<br />
556;red carpet;To <em>roll out the  red carpet </em>means to give special  treatment to an important or honoured  visitor.<br />
557;glass ceiling;This term refers to  a discriminatory barrier perceived by women  and minorities that prevents them from  rising to positions of power or  responsibility.<br /> .
558;clock  in/out;"When you<em> clock  in </em>or <em>out</em>, you record the time  you arrive or leave your job by punching a  time clock to the show the&nbsp; number of hours  you have worked.<br /> ."
559;couch  potato;If you refer to  someone as a <em>couch potato</em>, you  criticize them for spending a lot of time  sitting and watching television.<br />
560;rob the  cradle;If you<em> rob the cradle, </em>you have a  romantic relationship with someone who is  much younger than yourself.<br />
561;at the drop of a hat;If you do something <em>at the drop of a hat,</em> you do it  quickly and immediately, without hesitation.<br />
562;at one fell swoop;If something is accomplished <em>at (</em>or<em>  in) one fell swoop,</em> it is done in a  single action, usually rapidly and  ruthlessly.<br />
563;beat to the draw;If you <em>beat  someone to the draw</em>, you react more  quickly and manage to do something before  they do.<br />
564;before the ink is dry;If people reach an agreement, and then  change their minds immediately afterwards,  the change occurs <em>'before the ink is dry'.</em><br />
565;"before you know it /
before you know  where you are";If something takes place so rapidly that  you don't have time to become aware of it,  it happens<em> before you know it</em> or <em> before you know where you are.<br /> </em>
566;fast and furious;If an activity is<em>  fast and furious</em>, it is done quickly  and with a lot of energy.<br />
567;fast talker;A person who speaks  quickly and easily but cannot always be  trusted is called a<em> fast talker.</em><br />
568;get a move on;If someone tells you to <em>get a move  on,</em> they are asking you to hurry up.<br />
569;go hell for leather;If you <em>go hell for leather</em>, you  go somewhere or do something very fast.<br />
570;in the blink of an eye;If something happens<em> in the blink of  an eye</em>, it happens so fast or  instantaneously that you have hardly enough  time to notice it.<br />
571;in/by leaps and bounds;If you do something<em>  in leaps and bounds,</em> you make rapid or  spectacular progress or growth.<br />
572;about turn / about face;This term refers to  a complete change of opinion or policy.<br />
573;any port in a storm;When you have no choice,  <em>any port in a storm</em> refers to a  solution you accept, which in normal  circumstances you would find unacceptable.<br/>
574;between the devil and the deep blue sea;If you are <em> between the devil and the deep blue sea</em>,  you are in a situation where there are to  equally unpleasant alternatives.<br />
575;as broad as it's long;This expression means that there is no  real difference which alternative is chosen.<br />
576;cherry pick;When you<em> cherry pick,</em> you  choose something with great care and select  only the best.<br />
577;different strokes for different folks;"Each individual has their own tastes and  requirements. What suits one person may not  suit another.<br /> &nbsp;"
578;embarrassment of riches;When there is much more of something  than necessary, and it is difficult to make  a choice, you have an <em> embarrassment of riches.</em><br />
579;fait accompli;This French expression refers to  something that has been done and cannot be  changed.<br />
580;hedge your bets;"If you<em> hedge your bets,</em> you  choose two or more courses of action&nbsp; in  order to reduce the risk of loss or error.<br />"
581;horns of a dilemma;If you are <em>on the horns of a dilemma</em>,  you are faced with a choice between two  equally unpleasant options.<br /> .
582;be on the ball;If you are <em>on  the ball</em>, you are aware of what is  happening and are able to deal with things  quickly and intelligently.<br/>
583;beat one's brains out;If someone <em> beats their brains out</em>, they try very  hard to understand something or solve a  problem. <br/>
584;it beats me!;This expression is  used to express surprise at something that  you find difficult to understand.<br />
585;it's beyond me;To say 'it's beyond me' means that it is  impossible for you to understand.<br />
586;blind you with science;If someone tries to <em>blind you with science</em>, they  confuse you with their knowledge by using  difficult or technical words.<br />
587;I wasn't born yesterday;This expression is used to indicate that  you are not as foolish or as easily deceived  as some people seem to think.<br />
588;brains behind something;Someone who is<em>  the brains behind</em> a project or action  is the person thought to have planned and  organized everything.<br />
589;can't make head or tail of;If you <em>can't make head or tail of</em>  something, you can't understand it at all.<br />
590;put on your thinking cap;If you tell someone to <em>put their  thinking cap </em>on, you ask them to find  an idea or solve a problem by thinking about  it.<br />
591;chinese arithmetic;If something is very complicated or  difficult to understand, it is said to be  like<em> Chinese arithmetic.</em><br />
592;not have a clue;If you<em> don't have a clue</em> about  something, you don't know anything about it.<br />
593;collect one's thoughts;If you <em>collect your thoughts</em>,  you try to think calmly and clearly in order  to prepare yourself mentally for something.<br />
594;come to grips with;If you <em>come to grips</em> with a  problem or situation, you start to  understand or deal with it properly.<br />
595;come to your senses;If you <em>come to your senses</em> you  start to think clearly and behave sensibly.<br />
596;ball is in your court;If the <em>ball is  in your court</em>, it is your turn to speak  or act next.<br/>
597;start the ball rolling;If you <em>start  the ball rolling,</em> you begin an activity  in which other people will join.<br/>
598;that's the way the ball bounces;Things don't always  work out as planned, and there's nothing we  can do about it - that's life.<br/>
599;whole new ball game;To refer to  something as a  <em>whole new ball game</em> means that it  is a completely different situation due to a  new set of circumstances.<br/>
600;fishing expedition;If someone is on a<em>  fishing expedition</em>, they are trying to  obtain information in any way possible.<br />
601;fishing for compliments;When someone is  obviously waiting for you to say something  nice, they are <em>fishing for compliments.</em><br />
602;at this stage of the game;This expression refers to the current  point reached in a process, activity or  developing situation.<br />
603;below the belt;An action or remark  described as <em>below the belt</em> is  considered to be unfair or cruel.<br />
604;tighten your belt;If you need to <em> tighten your belt</em>, you must spend less  money or be careful how you spend it because  there is less available.<br />
605;under one's belt;If you have  something <em>under your belt, </em>you have acquired experience or have  satisfactorily achieved something.<br />
606;too big for your boots (or  britches);To say that a person is getting<em> too  big for their boots</em> (or britches) means  that you think they are behaving as if they  were more important than they really are.<br />
607;hang up one's boots;When a sports player <em>hangs up their  boots</em>, they stop playing and retire.  (This expression is often used to refer to  retirement in general.)<br />
608;lick someone's boots;To say that one person is<em> licking  another's boots</em> means that they are  trying to please that person, often in order  to obtain something.<br />
609;tough as old boots;"If something, specially meat, is <em> (as) tough as old boots</em>, it is hard to  cut and difficult to chew.&nbsp; (This can also  refer to a person who is strong either  physically or in character.)<br />"
610;if the cap fits wear it;"You can say<em> 'if  the cap fits, wear it'</em> to let someone  know that the critical remark they have just  heard applies to them.<br /> `""Are you referring to me?`"" `""If the cap fits,  wear it!`"""
611;"accomplished fact
 (fait accompli)";Something that has been done or  completed, before those affected by it can  intervene or change it, is called an  <em>accomplished fact.</em>
612;arm of the law;This expression refers to the extent to  which the authority or power of the law  extends.<br/>
613;bandit territory;A geographical area where law  enforcement is practically impossible,  because people ignore all rules, is called '<em>bandit  territory</em>'.<br/>
614;behind bars;Someone who is<em>  behind bars</em> is in prison.<br />
615;beyond reasonable doubt;This is a legal expression which means  that something is certain.<br /> .
616;blow the whistle;If you report an illegal or  socially-harmful activity to the  authorities, and give information about  those responsible for it, you <em>blow the  whistle</em> or you are a <em> whistle-blower.<br /> </em>
617;breaking and entering;This term refers to the fact of entering  a building or home illegally by breaking  open a window, door, etc.<br />
618;brush with the law;When you <em>have a brush with </em> something, such as the law, you encounter or  experience it briefly.<br />
619;burden of proof;The <em>burden of proof </em>is the  necessity imposed by the law to prove that  what one says is true.<br />
620;case in point;This term refers to an example which  serves to illustrate, support or prove a  point which is currently under discussion.<br />
621;ace a test;If  you obtain a very high score or an excellent  result, you<em> ace a test or exam.</em><br />
622;also-ran;This term refers to  an unsuccessful competitor whose performance  is so much poorer than the winner's that it  appears insignificant.<br />
623;in the bag;People use this expression when it  becomes obvious that success or victory is  going to be achieved.<br/>
624;bear fruit;If something <em>bears fruit</em>, it  produces positive or successful results.<br/>
625;(up a) blind alley;If you go up a <em> blind alley</em>, you follow an ineffective  course of action which leads nowhere or  produces no results.<br />
626;blockbuster;Something that is outstanding,  impressive or particularly successful, such  as a film or a book ,is called a <em> blockbuster</em>.<br />
627;blow up in face;When working on a plan or project, if it  suddenly goes wrong or fails, it<em> blows  up in your face.</em><br />
628;bottom fell out;When something causes a plan, project or  venture to collapse or fail, the<em> bottom  falls out</em>  of it.<br />
629;bring the house down;If you <em>bring the house down</em>,  you give a very successful performance.<br />
630;cake not worth the candle;To say that <em>the cake</em> <em>is not  worth the candle</em> means that the  advantages to be gained from doing something  are not worth the effort involved.<br />
631;had one's chips;To say that someone <em>has had their  chips</em>  means that they have completely failed in  what they set out to achieve.<br />
632;black gold;The  term<em> black gold </em>refers to the black  colour and high value of oil.<br />
633;black sheep;The<em> black sheep</em>  is one who behaves very differently or  badly, and is considered disreputable by the  other members of the family.<br /> .
634;beaten black and blue;If a person is  covered with bruise marks caused by being  hit, they have been <em>beaten black and  blue.<br /> </em>
635;black and white;To  say that something is<em> in black and white</em>  means that there is written proof of it.<br />
636;blue around the gills;If a person looks <em>blue around gills</em>, (or <em>green</em>  or <em>pale</em>) they look unwell or sick.<br />
637;blue in the face;If you do something  until you are <em>blue in the fac</em>e, you  try unsuccessfully to do something for a  very long time.<br />
638;blue-eyed boy;A <em>blue-eyed boy</em>  is someone's favourite.<br />
639;once in a blue moon;If something occurs <em>once in a blue moon</em>, it happens  very rarely.<br />
640;out of the blue;If something  happens <em>out of the blue</em>, it happens  very unexpectedly.<br />
641;(scream) blue murder;Someone who <em> screams blue murder</em> shouts or complains  very loudly as if something very serious has  happened.<br />
642;champagne on a beer budget;Someone who likes expensive things that they  cannot afford has <em>champagne taste on a beer budget.</em><br />
643;cheek by jowl;When people are <em> cheek by jowl</em>, they are crammed  uncomfortably close together.<br />
644;keep up appearances;A person who <em>keeps up appearances</em>  maintains an outward show of prosperity or  well-being in order to hide their  difficulties from others.<br />
645;keep up with Joneses;Someone who tries to <em>keep up with  the Joneses </em>tries to have the same  possessions or social achievements as  someone else.<br />
646;keep wolf from door;In order to <em>keep the wolf from the  door,</em> you need to have enough money to  buy food and other essentials.<br />
647;live beyond means;If someone<em>  lives beyond their means, </em> they spend more money than they earn or can  afford.<br />
648;live from hand to mouth;If you<em> live  from hand to mouth</em>, you don't have any  money to save because whatever you earn is  spent on food and other essentials.<br />
649;live high off the hog;Someone who<em>  lives high off the hog</em> has a lot of  money and a very comfortable lifestyle.<br />
650;live in clover;"Someone who<em>  lives in clover</em> has enough money to  lead a very comfortable&nbsp; life.<br />"
651;live in an ivory tower;A person who<em>  lives in an ivory tower</em> has a lifestyle  that preserves them from the problems and  difficulties experienced by others.<br />
652;live on the breadline;People who <em>live  on the breadline</em> have a very low income  or barely enough money to survive.<br />
653;live on the edge;If you <em>live on the edge</em>, your lifestyle involves dangerous or risky activities. <br />
654;live out of suitcase;Someone who<em>  lives of a suitcase</em> travels a lot,  moving from place to place, and is therefore  restricted to the contents of their  suitcase.<br />
655;live the life of riley;A person who<em>  lives the life of Riley </em>has a  comfortable and enjoyable life, without  having to make much effort.<br />
656;bolt from the blue;To  refer to something as a<em> bolt from the  blue</em>  means that it happened totally unexpectedly  and was a complete surprise.<br />
657;caught unawares;If someone is <em> caught unawares</em>, they are surprised and  unprepared for what happens.<br />
658;credibility gap;The extent of  disbelief, of the difference between what  you are asked to believe and what you are  able to believe, is called a <em>credibility  gap </em><br />
659;do a double take;Someone who <em> does a double tak</em>e looks again in  surprise at something unexpected.<br />
660;drop a bombshell;If you <em>drop a bombshell,</em> you  make an unexpected announcement which will  greatly change a situation.<br />
661;eyes on stalks;If your <em>eyes are on stalks</em> when  you look at something, they are wide open  with surprise or amazement.<br />
662;jaw drops;If someone's<em> jaw drops,</em> they  show total amazement.<br />
663;jump out of one's skin;If you<em> jump out of your skin</em>,  you are extremely surprised or shocked.<br />
664;knock your socks off;If something amazes  you, or impresses you greatly, it<em> knocks  your socks off.</em><br />
665;knock down with feather;To say '<em>you  could have knocked me down with a feather'</em>  emphasizes the fact that you were extremely  surprised.<br />
666;lo and behold!;This term is used to express surprise,  especially at a sudden or unexpected  appearance.<br />
667;nine-day wonder;An event which is <em>a nine-day wonder</em> causes interest,  surprise or excitement for a short time, but  it doesn't last.<br />
668;raise eyebrows;"Someone who<em> raises their eyebrows</em>  at something shows surprise or disapproval&nbsp;  by the expression on their face.<br />"
669;rooted to the spot;If you are so shocked, surprised or  scared that you are <em>rooted to the spot</em>, you reaction is  so strong that you are unable to move.<br />
670;seeing is believing;This expression means that when you see  something that seems incredible you can be  sure it exists, or that what you have been  told is really true.<br />
671;stop dead in tracks;If you <em>stop dead in your tracks,</em>  you stop suddenly because you are totally  surprised or frightened.<br />
672;struck dumb;If someone is <em> struck dumb,</em> they are unable to speak  because they are so surprised, shocked or  frightened by something.<br /> .
673;taken unawares;If something<em>  takes you unawares,</em> it surprises you  because you were not expecting it.<br />
674;there's no accounting for taste;This expression is used to indicate  surprise at another person's likes or  dislikes.<br />
675;wonders will never cease;This saying is used  to express pleasure or surprise at  something.<br />
676;words fail me;This expression is often used when  someone is so shocked, surprised or touched  by something that they don't know what to  say.<br />
677;chinese whispers;This expression refers to a process by which  a message or piece of information  (especially gossip, rumours or scandalous  news) is passed on from one person to  another, and changes along the way, so that  the final version is often very different  from the original.
678;drop someone a line;If you <em>drop  someone a line</em>, you write a letter to  them.<br /> .
679;get hold of;If you obtain something, or manage to  contact someone, yo<em>u get hold of them.</em><br />
680;get/give the low-down;If you <em>get </em> or<em> give the low-down</em>, you get or  give complete information or facts about  something.<br />
681;hear through the grapevine;If you <em>hear of something through the  grapevine</em>, you learn about it  informally, for example through friends or  colleagues. <br />
682;hit the airwaves;When someone <em> hits the airwaves</em>, they go on radio  and/or TV to be interviewed or to promote  something.<br />
683;hot off the press;If a news article, for example, is <em> hot off the press</em>, it has just been  published and contains the most recent  information on the subject.<br />
684;megaphone diplomacy;If the media, through press releases,  interviews and announcements, is  instrumental in facilitating dialogue  between two or more countries, this is  called<em> megaphone diplomacy.</em>
685;out of touch;"If&nbsp;you are <em>out of touch</em>, you no longer  communicate with someone, or you are unaware  of recent developments.<br />"
686;put someone in the picture;If you give somebody all the information  necessary to enable them to fully understand  a situation, you <em>put them in the  picture.</em><br />
687;speed networking;This term refers to a relatively new  urban trend which consists in making a  potential business contact by briefly  talking to a series of people at an  organised event and exchanging contact  details.
688;spread like wildfire;If something such as news, rumours or  gossip <em>spreads like wildfire</em>, it  becomes widely known very fast.<br />
689;stool pigeon;A person who acts as an informer,  especially one who gives information to the  police or the authorities, is called a<em>  stool pigeon.</em><br />
690;on the stump;"Before an election, when&nbsp; politicians  are campaigning for support and votes, they  are <em>on the stump.</em><br />"
691;touch base;If you<em> touch base </em>with someone,  you make contact or renew communication with  them.<br />
692;word of mouth;Information passed on through  conversation is transmitted <em> by word of mouth.</em> <br />
693;fall into one's lap;If something good<em>  falls into your lap</em>, it happens to you  without any effort on your part.<br />
694;fat chance!;The expression<em>  fat chance</em> is used to indicate that  something is not very likely to happen.<br />
695;free ride;Someone who <em> gets a free ride </em>benefits from a  collective activity without participating in  it.<br />
696;get a second bite at the cherry;This expression means that you get a  second opportunity to do or try something.<br />
697;off-chance;If you do something <em>on the off  chance</em>, you think there might be a  slight possibility of success.<br />
698;anyone's call;This expression is used when the result  of a contest or election is difficult to  predict.<br />
699;jump on bandwagon;If a person or organization<em> jumps on  the bandwagon</em>, they decide to seize the  opportunity and do something when it is  already successful or fashionable.<br />
700;luck of the draw;To refer to something that happens as <em> the luck of the draw</em> means that it is  the result of pure chance, with no  possibility of choice.<br />
701;pot luck;If you <em>take pot luck,</em> you  accept whatever is available without knowing  what it will be like.<br />
702;more by accident than by design;"Something which happens <em>more by  accident than (by) design</em> is&nbsp; done  without deliberate intention.<br />"
703;murphy's law;Referring to <em> Murphy's law</em> expresses a sentiment of  bad luck and the idea that if anything can  go wrong, it will.<br />
704;play a waiting game;If you <em>play a waiting game</em>, you  deliberately delay taking action in order to  be able to act more effectively later.<br />
705;against one's better judgement;If  you do something, even though you think it  is not a sensible thing to do, you do it <em> against your better judgement</em>.<br />
706;by no stretch of the imagination;The expression <em> 'by no stretch of the imagination'</em>  means 'however hard you may try to believe  or imagine it'.<br />
707;cloud cuckoo land;This expression refers to an imaginary  unrealistic place where everything is  perfect and impossible things can happen.<br />
708;figment of one's imagination;A<em> figment of one's imagination</em>  is an appearance, event or incident that is  not considered to be real but only  imaginary.<br />
709;flight of fancy;To refer to an idea or plan as a<em>  flight of fancy </em>means that it is very  imaginative but not at all practical or  sensible.<br />
710;harebrained idea;A <em>harebrained  idea</em> is an idea or suggestion that is  considered to be silly, foolish or totally  impractical.<br />
711;all in your head;"If something is <em>all in your head</em>,  it is not real.&nbsp; It is in your imagination.<br/>"
712;toy with the idea;If you consider  something without giving it serious thought,  you<em> toy with the idea.</em><br />
713;light bulb moment;"A<em> light bulb moment</em> is when you  have a&nbsp;sudden moment of inspiration,  comprehension or realization.<br />"
714;lose train of thought;If you forget what  you were saying, for example after a  disturbance or interruption, you <em>lose  your train of thought.</em><br />
715;cross your mind;If an idea or  thought<em> crosses your mind,</em> you  suddenly think of it.<br />
716;mind over matter;The mental power to influence one's body  and overcome physical difficulties is said  to be a question of <em> mind over matter</em>.<br />
717;as blind as a bat;Someone whose vision is very poor, or who is unable to see  anything, is (as) <em>blind as a bat.</em><br />
718;as clean as a whistle;Something<em> as clean as a whistle</em> is  extremely clean.<br /> This can also mean that a person's criminal  record is clean.<br />
719;as close / as dumb as an oyster;Someone who is as <em>close</em> or as <em>dumb as an oyste</em>r will never reveal  something told in confidence or betray a  secret.<br />
720;as cool as a cucumber;A person who is as <em>cool as a cucumber</em> is not anxious,  but relaxed and non-emotional.<br />
721;as crooked as a dog's hind leg;To say that someone is as <em>crooked as  a dog's hind leg</em>  means that they are very dishonest indeed.<br />
722;dead as a dodo;"<span class=`""auto-style1`"">To say that something is (as) <em>dead  as a dodo</em> means that it is  unquestionably dead or obsolete, or has gone  out of fashion.<br /> </span> <span class=`""auto-style4`"">(A dodo is a bird that  is now extinct.)</span><span  class=`""auto-style1`""><br /> </span>"
723;as different as chalk and cheese;Two people who are as different as <em> chalk and cheese</em> are completely  different from each other.<br />
724;as dry as dust;Something that is as <em>dry as dust</em>  is very dry indeed.<br /> This expression can also refer to something  dull and uninteresting.<br />
725;as dull as ditchwater;Something as <em> dull as ditchwater</em> is very boring.<br />
726;as easy as pie;Something that is <em>(as) easy as pie</em>  is very easy to do.<br />
727;as fit as a fiddle;A person who is as<em>  fit as a fiddle</em> is in an excellent  state of health or physical condition.<br />
728;away with the fairies;Someone who is<em> away with the fairies</em>  is in such a dreamy state that they are not  totally in touch with reality and give the  impression of being slightly mad.<br/> <br />
729;basket case;"A person whose  agitated mental state leaves them helpless  or unable to cope with things is called a<em>  basket case</em>.<br/> &nbsp;"
730;have you gone out of your mind?;If you ask someone if they <em>have gone  out of their mind,</em>  you think they are crazy, foolish or insane.<br />
731;the lights are on, but no one is home;This is a humorous way of referring to  someone who is lacking intelligence or  sanity, or to someone who is simply  preoccupied and not paying attention.<br />
732;lose one's marbles;If someone<em>  loses their marbles,</em> they become  mentally confused, or no longer behave  sensibly or rationally.<br />
733;not all there;Someone who is<em>  not all there </em>behaves strangely at  times, or seems a bit odd.<br /> !
734;not in one's right mind;Someone who is<em> not in their right  mind</em> is not behaving in a logical or  sensible way.<br />
735;not playing with a full deck (of cards);Someone who is <em> not playing with a full deck</em> (of cards)  lacks intelligence or does not have full  mental abilities.<br />
736;go nuts;To say that a person has <em>gone nuts</em>  means that they have become completely  foolish, eccentric or mad.<br />
737;off your rocker!;If you tell someone that they are <em> off their rocker</em>, you think they are  completely crazy.<br />
738;rats in the attic;If you say that someone <em>has rats in  the attic,</em> you mean that they are a bit  mad or that their behaviour is eccentric.<br />
739;a screw loose;If someone <em>has a screw loose,</em>  their behaviour is strange and they appear  slightly mad.<br />
740;stark raving mad;To say that someone is <em>stark raving  mad </em>means that they are completely  crazy.<br />
741;stir crazy;If a person<em>  goes stir-crazy</em>, they become very  agitated or nervous because they have been  confined to a place for too long.<br />
742;take leave of one's senses;To say to someone <em>'have you taken leave of your senses?'</em>  means that you think their behaviour is  crazy.<br />
743;against the clock;If  you do something <em>against the clock,</em>  you are rushed and have very little time to  do it.<br />
744;on the cusp;<em>On the cusp</em>  refers to a point in time that marks a transition or the beginning of a change.<br/>
745;all along;If something has existed or been somewhere <em> all along</em>, it has been there all the  time, from the beginning.<br />
746;better late than never;When someone does something late, this  remark means that it is better to do it late  than not do it at all.<br />
747;by degrees;If something happens or develops <em>by  degrees</em>, it happens gradually or little  by little as time goes by.<br />
748;clock in/out;"When you<em> clock in </em>or <em>out</em>,  you record the time you arrive or leave your  job by punching a time clock to the show  the&nbsp; number of hours you have worked.<br /> ."
749;cut it/things fine;If you <em>cut it/cut things fine</em>,  you leave barely enough time to do  something.<br />
750;date late and a dollar short;If something is <em>a day late and a  dollar short</em>, it comes too late and<br/>  is not good enough.<br />
751;donkey's years;If someone has been doing something for <em> donkey's years</em>, they have been doing it  for a very long time.<br />
752;down to the wire;If something such as project or a match  goes<em> down to the wire</em>, the  situation can change up until the last  possible moment.<br />
753;in the interim;Something that happens<em> in the  interim</em> takes place during a period of  time between two events.<br />
754;in the long run;This term refers to something that will  have effect over or after a long period of  time.<br />
755;answer for;If someone has to  <em>answer for something</em>, they have to  accept responsibility for their actions.<br />
756;be that as it may;This expression means that what the speaker  says may be true but it will not change the  situation.<br/>
757;can't make an omeletter without breaking  eggs;This expression  means that it is impossible to make  important changes without causing some  unpleasant effects.<br />
758;change the face of something;When an innovation, discovery or event <em> changes the face of something,</em> it  alters it completely or in a major way.<br />
759;chickens come home to roost;If you say that<em> chickens have come  home to roost</em>, you mean that bad or  embarrassing things done in the past by  someone are now causing problems for that  person.<br />
760;come to a bad end;If someone <em> comes to a bad end</em>, their actions lead  to disastrous consequences which are  sometimes deserved or predictable.<br />
761;come with the territory;To say that  something <em>comes with the territory</em>  means that it has to be accepted as part of  a job or responsibility, even if it is  unpleasant.<br />
762;come what may;If you declare that  you will do something <em>come what may</em>,  you are saying that you will do it whatever  the consequences may be.<br />
763;(get) comeuppance;When someone <em> gets their comeuppance</em>, they receive  the treatment they deserve (usually  punishment or retribution) for their  behaviour or actions.<br />
764;cut both ways;Something that<em>  cuts both ways</em> has both a positive and  a negative effect at the same time.<br />
765;devil to pay;This is a way of announcing that there  will be trouble if something happens.<br />
766;even the score;When a person decides to <em>even the  score</em>, they try to get their revenge on  someone who has cheated or done them harm.<br />
767;face the music;If you have to <em>face the music,</em>  you have to accept the unpleasant  consequences of your actions.<br />
768;fall from grace;"To say that someone has <em>fallen from  grace </em>means that they have done  something wrong, immoral or unacceptable,  and as a result&nbsp; have lost their good  reputation.<br />"
769;bear in mind;If a person asks you to  <em>bear something in mind</em>, they are  asking you to remember it because it is  important.<br/>
770;brain/memory like a sieve;Someone who has a<em>  brain like a sieve</em> has a very bad  memory and forgets things easily.<br />
771;have down pat;If you memorize or practise something  until you know it perfectly or have it  exactly right, you <em> have it down pat.</em><br /> <em>I rehearsed my presentation until I had  it down pat.</em>
772;in one ear and out the other;To say that information <em>goes in one  ear and comes out the other</em> means that  it is immediately forgotten or ignored.<br />
773;jog someone's memory;When you help someone to remember  something they have forgotten, you<em> jog  their memory.</em><br />
774;lose your train of thought;If you forget what you were saying, for  example after a disturbance or interruption,  you <em>lose your train of thought.</em><br />
775;if memory serves well;If your <em>memory  serves you well</em>, you remember correctly  or you have not forgotten any details.<br />
776;trip down memory lane;If you take a<em>  trip</em> (<em>stroll </em>or <em>walk</em>) <em>down memory lane</em>, you remember  pleasant things that happened in the past.<br />
777;in your mind's eye;If you can visualise something, or see  an image of it in your mind, you see it<em>  in your mind's eye.</em><br />
778;rake over the ashes;When people <em>rake over the ashes</em>,  they discuss an unpleasant event which took  place in the past.<br />
779;refresh someone's memory;If you <em>refresh someone's memory, </em> you remind them of facts they seem to have  forgotten.<br />
780;ring a bell;If something<em> rings a bell,</em> it  sounds familiar, but you don't remember the  exact details.<br />
781;senior moment;A momentary lapse of memory, especially  in older people, or an absent-minded action  such as putting the cereals in the  refrigerator, is humorously referred to as <em> having a senior moment.</em> <br />
782;it slipped my mind;If something has <em>slipped your mind,</em> you have  forgotten about it.<br />
783;jump on the bandwagon;If a person or organization<em> jumps on the  bandwagon</em>, they decide to do something  when it is already successful or  fashionable.<br />
784;in the same boat;If two or more parties are<em> in the same  boat</em>, they are in the same unpleasant  or difficult situation.<br />
785;miss the boat;If you <em>miss the  boat</em>, you fail to take advantage of an  opportunity because you don't act quickly  enough.<br />
786;(not) rock the boat;If you tell someone <em>not to rock the boat</em>, you are  asking them to do nothing that might cause  trouble or upset a stable situation.<br/>
787;paddle one's own canoe;If you <em>paddle your own canoe,</em>  you do what you want to do without help or  interference from anyone.<br />
788;cart before the horse;A person who<em>  puts the cart before the horse</em> is doing  things in the wrong order.<br />
789;drive a hard bargain;A person who<em>  drives a hard bargain</em> always makes sure  they gain advantage in a business deal.<br />
790;highways and byways;If you travel<em>  the highways and byways,</em> you take large  and small roads to visit every part of the  country.<br />
791;my way or the highway;It you say to  someone<em> 'it's my way or the highway'</em>,  you are telling that person that either they  accept what you propose or they leave the  project.<br />
792;hit the road;When you<em> hit  the road</em>, you begin a journey.<br />
793;on the home stretch;To say that you are<em>  on the home stretch</em> means that you are  approaching the end of something such as a  task, a race or a journey.<br />
794;itchy feet;A person who has<em>  itchy feet</em> is someone who finds it  difficult to stay in one place and likes to  travel and discover new places.<br />
795;abbreviated piece of nothing;This slang  expression refers to someone who is  considered to be insignificant or worthless.<br />
796;all brawn and no brain;Someone who is physically very strong but  not very intelligent is said to be <em> all brawn and no brain</em>.<br />
797;all sizzle and no steak;Someone who turns  out to be disappointing, after a promotional  campaign which led us to expect something  better, is called <em>all sizzle and no  steak</em>.<br />
798;all things to all people;If you are <em>all things to all people</em>,  you please or satisfy everyone.<br />
799;alter ego;The term<em> alter ego</em>, which in  Latin means 'other self', refers to a very  close and trusted friend who is very like yourself.
800;apple of your eye;A person, usually a child, who is<em>  the apple of your eye </em> is one for whom you have great affection.<br />
801;armchair critic;An <em>armchair  criti</em>c is someone who gives advice  based on theory rather than practice.<br/>
802;armchair traveller;"Someone who reads  books or watches TV programmes about other  places and countries, but doesn't actually  travel anywhere, is called an<em> armchair  traveller</em>.<br/>&nbsp;"
803;bad egg;Someone who is a <em>bad egg </em>is an untrustworthy person often involved in trouble  whose company should be avoided.<br />
804;behind the times;A person who is <em> behind the times </em>has old-fashioned  ideas and does not keep up with modern life  in general.<br />
805;big cheese;This expression  refers to a person who has a lot of power  and influence in an organization.<br />
806;born with a silver spoon in one's mouth;A person who is<em>  born with a silver spoon in their mouth</em>  is born into a very rich family.<br />
